cat_exp;cat_title;cat_label;remarks;
Transgender (Female to Male);gender;male;;
Gender : Female;gender;female;;
Female, Tool/No Tool;gender;female;;
Male (≥51 Years);gender;male;;
Female (≥61 years of age);gender;female;;
Phase I - Candesartan+HCTZ;gender;unknown_g;;
Male (Part B);gender;male;;
Bigender;gender;other;;
Gay;gender;male;;
Gender- Male;gender;male;;
Male (Titration);gender;male;;
Nonbinary/questioning;gender;other;;
Transgender Man;gender;male;;
Male (Double-blind Period);gender;male;;
Female/Female;gender;female;;
Transgender, Other, Prefer not to answer;gender;other;;
cisgender Woman;gender;female;;
Multiple gender identities;gender;other;;
F-Transgender;gender;female;;
Sex/Gender Baseline;gender;unknown_g;;
Transgender woman or gender-diverse;gender;female;;
Female Female;gender;female;;
Male, Maintenance Phase;gender;male;;
Transgender Man/Trans Man;gender;male;;
Cohort 4, Male;gender;male;;
Transfemale;gender;female;;
Part A Cohort 1 (n=5): Female;gender;female;;
Male patients;gender;male;;
Nonbinary, genderfluid, or genderqueer;gender;other;;
male patients;gender;male;;
Multi-gender;gender;other;;
Decline to Answer;gender;unknown_g;;
Unknown;gender;unknown_g;;
missing;gender;unknown_g;;
Female : No retinopathy;gender;female;;
Sex : Male;gender;male;;
Male/man;gender;male;;
Male (18 to 64 years);gender;male;;
Female, Part 1;gender;female;;
male gender;gender;male;;
Sex female;gender;female;;
Female (EAP);gender;female;;
Transgender female-to-male;gender;male;;
Prefers not to identify;gender;unknown_g;;
Intention to Treat (ITT): Female;gender;female;;
Nonbinary (e.g., genderqueer, agender, gender fluid);gender;other;;
intersex;gender;other;;
Other (Unspecified);gender;other;;
Female, Ages 6-11;gender;female;;
Other, Unspecified;gender;other;;
Sex of Particpants : Male;gender;male;;
Part B (n = 34): Male;gender;male;;
Male (Randomization Phase);gender;male;;
Female, Part 2;gender;female;;
Trans person;gender;other;;
Part A: Male (n = 8);gender;male;;
Transgender boy;gender;male;;
Male (at birth);gender;male;;
Demographic information not collected;gender;unknown_g;;
Gender Diverse;gender;other;;
Male (Double Blind Phase);gender;male;;
Male, Ages 2-5;gender;male;;
They/Them/Their;gender;other;;
2008 Female;gender;female;;
Students: Female;gender;female;;
Female, Overall Study;gender;female;;
Male (EAP);gender;male;;
none of these describe me (includes those identifying as non-binary, transgender, and bi-gender);gender;other;;
Man/boy;gender;male;;
Transgender/Transwoman;gender;female;;
male participants;gender;male;;
Undifferentiated or Unknown;gender;unknown_g;;
Women;gender;female;;
Refuse to answer;gender;unknown_g;;
Males entered at Baseline;gender;male;;
Part A: Female (n = 8);gender;female;;
Male (Cohort I);gender;male;;
Males;gender;male;;
not reported - child;gender;unknown_g;;
Teachers: Male;gender;male;;
Female (19 to 55 years);gender;female;;
Teachers;gender;unknown_g;;
Male entire study population;gender;male;;
gender not known;gender;unknown_g;;
Male_Extension Study;gender;male;;
Unknown or Decline to Answer;gender;unknown_g;;
Phase 2 ELND005 500 BID Female;gender;female;;
Female (Open Label Phase);gender;female;;
Non-binary or prefered not to disclose;gender;unknown_g;;
Transman;gender;male;;
Sex/Gender Not Collected;gender;unknown_g;;
Self-described;gender;unknown_g;;
Phase II - Aliskiren+HCTZ;gender;unknown_g;;
Different Identity;gender;unknown_g;;
Previously Untreated : Female;gender;female;;
Unspecified Gender;gender;unknown_g;;
Parent Male;gender;male;;
Undifferentiated (at birth);gender;unknown_g;;
Non-Binary;gender;other;;
Transgender Spectrum;gender;other;;
Between 50 and 60 years;age;between 18 and 65 years;;
Over 55 years of age;age;between 18 and 65 years;;
36-40 years old;age;between 18 and 65 years;;
1-5;age;<18 years;;
