nct_id,ctgov_group_code,count,classification,category,title,units,param_type,param_value_num,cat_title,nan_status,cat_exp,annotator_1,annotator_2
NCT02452554,BG006,62,,>=65 years,"Age, Categorical",Participants,COUNT_OF_PARTICIPANTS,0.0,age,2,>=65 years,,
NCT00794196,BG002,179,,<=18 years,"Age, Categorical",Participants,COUNT_OF_PARTICIPANTS,0.0,age,2,<=18 years,,
NCT00360828,BG000,10,,<=18 years,"Age, Categorical",Participants,COUNT_OF_PARTICIPANTS,0.0,age,2,<=18 years,,
NCT02730884,BG000,3,,Between 18 and 65 years,"Age, Categorical",Participants,COUNT_OF_PARTICIPANTS,1.0,age,2,Between 18 and 65 years,,
NCT01519284,BG005,82,,>=65 years,"Age, Categorical",Participants,COUNT_OF_PARTICIPANTS,0.0,age,2,>=65 years,,
NCT00937040,BG002,357,,>=65 years,"Age, Categorical",Participants,COUNT_OF_PARTICIPANTS,3.0,age,2,>=65 years,,
NCT00740831,BG003,301,,>=65 years,"Age, Categorical",Participants,COUNT_OF_PARTICIPANTS,0.0,age,2,>=65 years,,
NCT02111213,BG002,245,,,"Age, Continuous",years,MEAN,62.8,age,3,,,
NCT00518089,BG002,859,>65 years,,"Age, Customized",participants,NUMBER,90.0,age,1,>65 years,,
NCT01515046,BG000,1,,Between 18 and 65 years,"Age, Categorical",Participants,COUNT_OF_PARTICIPANTS,1.0,age,2,Between 18 and 65 years,,
NCT02432846,BG006,176,Age (4 arms/strata),,"Age, Continuous",years,MEAN,62.3,age,1,Age (4 arms/strata),,
NCT04710576,BG003,241,,,"Age, Continuous",years,MEAN,51.4,age,3,,,
NCT03458702,BG000,40,,<=18 years,"Age, Categorical",Participants,COUNT_OF_PARTICIPANTS,0.0,age,2,<=18 years,,
NCT00877071,BG000,2,,Between 18 and 65 years,"Age, Categorical",Participants,COUNT_OF_PARTICIPANTS,0.0,age,2,Between 18 and 65 years,,
NCT03359889,BG000,5,,,"Age, Continuous",years,MEAN,64.8,age,3,,,
NCT01158222,BG000,37,40-49,,"Age, Customized",Participants,COUNT_OF_PARTICIPANTS,3.0,age,1,40-49,,
NCT02606604,BG002,14,,,"Age, Continuous",years,MEAN,53.64,age,3,,,
NCT00886600,BG004,122,,,"Age, Continuous",years,MEAN,53.5,age,3,,,
NCT02873598,BG003,14,,Between 18 and 65 years,"Age, Categorical",Participants,COUNT_OF_PARTICIPANTS,5.0,age,2,Between 18 and 65 years,,
NCT01308814,BG002,172,,Between 18 and 65 years,"Age, Categorical",Participants,COUNT_OF_PARTICIPANTS,172.0,age,2,Between 18 and 65 years,,
NCT02374320,BG000,13,,<=18 years,"Age, Categorical",Participants,COUNT_OF_PARTICIPANTS,0.0,age,2,<=18 years,,
NCT04621734,BG002,35,,,"Age, Continuous",years,MEAN,7.8,age,3,,,
NCT05121675,BG002,107,,<=18 years,"Age, Categorical",Participants,COUNT_OF_PARTICIPANTS,0.0,age,2,<=18 years,,
NCT04706416,BG002,148,,,"Age, Continuous",years,MEDIAN,67.0,age,3,,,
NCT00263887,BG002,77,,Between 18 and 65 years,"Age, Categorical",Participants,COUNT_OF_PARTICIPANTS,67.0,age,2,Between 18 and 65 years,,
NCT02064868,BG002,2650,,,"Age, Continuous",Years,MEAN,75.48,age,3,,,
NCT00251303,BG002,60,,<=18 years,"Age, Categorical",Participants,COUNT_OF_PARTICIPANTS,60.0,age,2,<=18 years,,
NCT02248974,BG002,98,,>=65 years,"Age, Categorical",Participants,COUNT_OF_PARTICIPANTS,32.0,age,2,>=65 years,,
NCT00235443,BG006,451,,>=65 years,"Age, Categorical",Participants,COUNT_OF_PARTICIPANTS,112.0,age,2,>=65 years,,
