id,label,icd_code,mesh_code
DOID:0001816,angiosarcoma,,D006394
DOID:0014667,disease of metabolism,E88.9,D008659
DOID:0040008,isoniazide allergy,Z88.1,
DOID:0040010,mepivacaine allergy,Z88.4,
DOID:0040046,nickel allergic contact dermatitis,L23.0,
DOID:0040056,chromium allergic contact dermatitis,L23.0,
DOID:0040083,Chlamydia pneumonia,J16.0,
DOID:0040084,Streptococcus pneumonia,J13,
DOID:0040091,autoimmune pancreatitis,,D000081012
DOID:0040092,juvenile ankylosing spondylitis,M08.1,
DOID:0040093,drug-induced lupus erythematosus,M32.0,
DOID:0040098,pemphigus gestationis,O26.4,
DOID:0040099,livedoid vasculitis,L95.0,
DOID:0050052,Rocky Mountain spotted fever,,D012373
DOID:0050061,erysipeloid,,D004887
DOID:0050072,adiaspiromycosis,,C000656784
DOID:0050083,Keshan disease,,C536166
DOID:0050096,tinea barbae,,C000656825
DOID:0050118,La Crosse encephalitis,A83.5,D004670
DOID:0050120,hemophagocytic lymphohistiocytosis,D76.1,D051359
DOID:0050127,sinusitis,J01,
DOID:0050133,superficial mycosis,B36.9,D010854
DOID:0050138,podoconiosis,,D004604
DOID:0050144,Kartagener syndrome,,D007619
DOID:0050145,adenoiditis,J35.02,
DOID:0050147,otomycosis,,D059249
DOID:0050148,laryngotracheitis,J04,
DOID:0050148,laryngotracheitis,J37.1,
DOID:0050152,aspiration pneumonia,J69.0,D011015
DOID:0050156,idiopathic pulmonary fibrosis,J84.112,D054990
DOID:0050157,cryptogenic organizing pneumonia,J84.116,D018549
DOID:0050158,desquamative interstitial pneumonia,J84.117,C562470
DOID:0050159,lymphoid interstitial pneumonia,,C562489
DOID:0050160,inhalation anthrax,,C571912
DOID:0050166,tuberculous salpingitis,A18.17,
DOID:0050175,tick-borne encephalitis,A84.1,D004675
DOID:0050185,erythema multiforme,,D004892
DOID:0050214,Lambert-Eaton myasthenic syndrome,G70.80,D015624
DOID:0050256,angiostrongyliasis,,C536369
DOID:0050266,tungiasis,,D058285
DOID:0050269,Trichomonas vaginalis trichomoniasis,A59.00,D014247
DOID:0050289,fusariosis,,D060585
DOID:0050290,trichosporonosis,,D060586
DOID:0050304,aniseikonia,,D000839
DOID:0050328,congenital hypothyroidism,E00.1,D003409
DOID:0050328,congenital hypothyroidism,E03.1,D003409
DOID:0050335,bradyopsia,,C564243
DOID:0050336,hypophosphatemia,,D017674
DOID:0050419,complement factor I deficiency,,C572568
DOID:0050424,familial adenomatous polyposis,,D011125
DOID:0050425,restless legs syndrome,G25.81,D012148
DOID:0050426,Stevens-Johnson syndrome,L51.1,D013262
DOID:0050427,xeroderma pigmentosum,Q82.1,D014983
DOID:0050428,nonepidermolytic palmoplantar keratoderma,,C563422
DOID:0050429,Hailey-Hailey disease,Q82.8,D016506
DOID:0050430,multiple endocrine neoplasia type 2A,E31.22,D018813
DOID:0050431,arrhythmogenic right ventricular cardiomyopathy,,D019571
DOID:0050432,Asperger syndrome,F84.5,D020817
DOID:0050433,fatal familial insomnia,A81.83,D034062
DOID:0050434,Andersen-Tawil syndrome,,D050030
DOID:0050436,mulibrey nanism,,D050336
DOID:0050437,Danon disease,,D052120
DOID:0050438,Frasier syndrome,,D052159
DOID:0050439,Usher syndrome,,D052245
DOID:0050440,familial partial lipodystrophy,,D052496
DOID:0050441,mucosulfatidosis,E75.26,D052517
DOID:0050444,infantile Refsum disease,G60.1,D052919
DOID:0050445,X-linked dominant hypophosphatemic rickets,,D053098
DOID:0050448,white sponge nevus,,D053529
DOID:0050449,pachyonychia congenita,,D053549
DOID:0050450,Gitelman syndrome,,D053579
DOID:0050451,Brugada syndrome,I49.8,D053840
DOID:0050452,mevalonic aciduria,M04.1,D054078
DOID:0050453,lissencephaly,Q04.3,D054082
DOID:0050454,periventricular nodular heterotopia,,D054091
DOID:0050456,Buruli ulcer disease,A31.1,D054312
DOID:0050457,Sertoli cell-only syndrome,,D054331
DOID:0050458,juvenile myelomonocytic leukemia,C93.3,D054429
DOID:0050459,hyperphosphatemia,,D054559
DOID:0050460,Wolf-Hirschhorn syndrome,Q93.3,D054877
DOID:0050461,aspartylglucosaminuria,E77.1,D054880
DOID:0050463,campomelic dysplasia,,D055036
DOID:0050464,Farber lipogranulomatosis,,D055577
DOID:0050465,Muir-Torre syndrome,,D055653
DOID:0050466,Loeys-Dietz syndrome,,D055947
DOID:0050467,erythrokeratodermia variabilis,,D056266
DOID:0050468,yellow nail syndrome,L60.5,D056684
DOID:0050469,Costello syndrome,,D056685
DOID:0050470,Donohue syndrome,,D056731
DOID:0050471,Carney complex,,D056733
DOID:0050472,monilethrix,Q84.1,D056734
DOID:0050473,Alstrom syndrome,,D056769
DOID:0050475,Weill-Marchesani syndrome,,D056846
DOID:0050476,Barth syndrome,E78.71,D056889
DOID:0050477,Liddle syndrome,,D056929
DOID:0050485,sennetsu fever,,C537582
DOID:0050486,exanthem,R21,D005076
