NCT_id,intervention_type,name,_name,_idx,DHT_searched_text
NCT00389649,DEVICE,heart rate setting,no matches,0,heart rate setting
NCT00533338,BEHAVIORAL,"Weight Gain Prevention Program;
 Questionnaire",no matches,0,"Weight Gain Prevention Program;
 Questionnaire"
NCT00536601,"DRUG;
 RADIATION;
 PROCEDURE","etoposide;
 cyclophosphamide;
 carmustine;
 melphalan;
 busulfan;
 carboplatin;
 thiotepa;
 total-body irradiation;
 autologous hematopoietic stem cell transplantation;
 autologous-autologous tandem hematopoietic stem cell transplantation",no matches,0,"etoposide;
 cyclophosphamide;
 carmustine;
 melphalan;
 busulfan;
 carboplatin;
 thiotepa;
 total-body irradiation;
 autologous hematopoietic stem cell transplantation;
 autologous-autologous tandem hematopoietic stem cell transplantation"
NCT00600106,DRUG,"1/10 NA/EE;
 Placebo",no matches,0,"1/10 NA/EE;
 Placebo"
NCT00681135,DEVICE,"sonic toothbrush (Philips Sonicare® FlexCare, Typ HX6942/04);
 manual toothbrush / interdental toothbrush (elmex® Inter X medium toothbrush / interdental brush Curaprox®);
 manual toothbrush (elmex® Inter X medium toothbrush)",['philips'],1,"sonic toothbrush (Philips Sonicare® FlexCare, Typ HX6942/04);
 manual toothbrush / interdental toothbrush (elmex® Inter X medium toothbrush / interdental brush Curaprox®);
 manual toothbrush (elmex® Inter X medium toothbrush)"
NCT00857376,DIETARY_SUPPLEMENT,Alpha lipoic acid at 3 doses compared to placebo,no matches,0,Alpha lipoic acid at 3 doses compared to placebo
NCT00926692,OTHER,Blood draw,no matches,0,Blood draw
NCT00940550,DRUG,"Prolonged-release melatonin;
 Temazepam;
 Zolpidem;
 Placebo to match melatonin, zolpidem and temazepam",no matches,0,"Prolonged-release melatonin;
 Temazepam;
 Zolpidem;
 Placebo to match melatonin, zolpidem and temazepam"
NCT01127776,"DEVICE;
 OTHER","APOS SYSTEM;
 APOS SYSTEM without biomechanics units.",no matches,0,"APOS SYSTEM;
 APOS SYSTEM without biomechanics units."
NCT01391078,DEVICE,"Sensimed Triggerfish Sensor;
 Goldmann Applanation Tonometry, Perkins Tonometry",['triggerfish'],1,"Sensimed Triggerfish Sensor;
 Goldmann Applanation Tonometry, Perkins Tonometry"
NCT01444846,DRUG,"SPI-1005 Low dose;
 SPI-1005 Middle dose;
 SPI-1005 High dose;
 Placebo",no matches,0,"SPI-1005 Low dose;
 SPI-1005 Middle dose;
 SPI-1005 High dose;
 Placebo"
