Element,Count
philips,2
triggerfish,1
wrist blood pressure monitor,1
mobile app,3
omnipod,1
dexcom,5
smartphone,8
iphone,1
resperate,1
kinect,5
tracker,3
fitbit charge,2
xbox,1
g4 platinum,1
fitbit,9
activpal,1
wearable,5
sensewear,1
mhealth,8
smart watch,2
whoop,1
neuronaute,1
cardioskin,1
nox a1,1
earlysense,1
ipad,1
corband,1
coaguchek,1
monsenso,1
onetouch,1
accu-chek,1
bgstar,1
relion,1
gpskin,1
silvercloud,1
actigraph,1
wgt3x-bt,1
fitness tracker,1
sleep tracker,1
patient status engine,1
lifelight,1
vitrack,1
pro-diary,1
everion,1
cova,1
polar,2
inspire 2,1
quest 2,1
holter monitor,1
smart phone,1
duchenne video assessment,1
endopat,1
t:slim,2
g6 cgm,2
nest hub,1
android,1
alexa,1
minimed,1
temptraq,1
aktiia,1
