study_id,icd10_code
NCT05513326,M45-M49.9
NCT05513326,M89.9
NCT05513326,M48.0
NCT02119260,I51.9
NCT02119260,I51.6
NCT02119260,J81
NCT02119260,I50
NCT03578003,G93.9
NCT03578003,G96.9
NCT03578003,G00-G99.9
NCT03578003,S00-S09.9
NCT03578003,F99-F99.9
NCT03578003,F43.1
NCT02835326,M13.9
NCT02835326,M00-M25.9
NCT02835326,M79.0
NCT02232022,I67.9
NCT02232022,G93.9
NCT02232022,G96.9
NCT02232022,G00-G99.9
NCT02232022,I51.6
NCT02232022,I49.9
NCT02232022,I51.9
NCT02232022,I64
NCT02232022,I63
NCT03798717,E70-E90.9
NCT03798717,E34.9
NCT03798717,E10-E14.9
NCT03798717,E11
NCT04914780,C00-D48.9
NCT04914780,N60-N64.9
NCT04499807,I51.9
NCT04499807,I51.6
NCT04499807,I49.9
NCT06352372,G93.9
NCT06352372,G96.9
NCT06352372,F99-F99.9
NCT06352372,G40
NCT06352372,G00-G99.9
NCT06352372,F84.0
NCT06248918,C00-D48.9
NCT06248918,N60-N64.9
NCT05164575,M13.9
NCT05164575,M00-M25.9
NCT05164575,M79.0
NCT05164575,M16
NCT02295839,C00-D48.9
NCT02295839,D75.9
NCT02295839,C95
NCT02295839,C91
NCT05049759,F39
NCT05049759,F99-F99.9
NCT05049759,F41.9
NCT05890443,J00-J99.9
NCT05890443,R06.0
NCT05890443,J44.9
NCT04365842,M00-M25.9
NCT04365842,M79.0
NCT04365842,M13.9
NCT04365842,M06.9
NCT05482048,K86.9
NCT05482048,K00-K93.9
NCT05482048,E84
NCT05452655,G93.9
NCT05452655,E70-E90.9
NCT05452655,G20
NCT05452655,G00-G99.9
NCT05452655,G31.9
NCT05452655,G96.9
NCT03057496,H44
NCT03057496,H35.9
NCT03057496,G00-G99.9
NCT06008574,C00-D48.9
NCT05122390,N00-N99.9
NCT05599308,I49.9
NCT05599308,I51.9
NCT05599308,I51.6
NCT04060875,M54
NCT04060875,R52.9
NCT04060875,M79.0
NCT04060875,M60-M63.9
NCT04060875,G70.9
NCT04060875,G00-G99.9
NCT04060875,G58.9
NCT04060875,G90
NCT04060875,G56.0
NCT04060875,G54.6
NCT04060875,M54.5
NCT02510430,C00-D48.9
NCT02510430,N60-N64.9
NCT04648735,G93.9
NCT04648735,G96.9
NCT04648735,G00-G99.9
NCT04648735,F99-F99.9
NCT04648735,F03
NCT03736603,T78.4
NCT03736603,J45
NCT03426384,M32
NCT05096819,I10-I15.9
NCT05096819,I51.6
NCT05399043,M00-M25.9
NCT05399043,G00-G99.9
NCT02011815,C00-D48.9
NCT02011815,N60-N64.9
NCT05461976,I67.9
NCT05461976,G93.9
NCT05461976,G96.9
NCT05461976,G00-G99.9
NCT05461976,I51.6
NCT05461976,I64
NCT05651282,C00-D48.9
NCT05651282,N00-N99.9
NCT05872373,T63.0
NCT02804789,G93.9
NCT02804789,G96.9
NCT02804789,G00-G99.9
NCT02804789,F99-F99.9
NCT02804789,G31.9
NCT02804789,F03
NCT02804789,G30
NCT05408806,G00-G99.9
NCT05408806,G93.9
NCT05408806,G96.9
NCT03883815,G00-G99.9
NCT03883815,G93.9
NCT03883815,G96.9
NCT00691080,F99-F99.9
NCT00691080,G00-G99.9
NCT03371810,F39
NCT03371810,F99-F99.9
NCT03371810,G00-G99.9
NCT03371810,E66
NCT03371810,F90
NCT05602051,D75.9
NCT05602051,C00-D48.9
NCT05009303,R52.9
NCT04792697,G00-G99.9
NCT04792697,F99-F99.9
NCT04792697,G47.2
NCT03118921,F99-F99.9
NCT03118921,F45
NCT03118921,R63.0
NCT03118921,F50.0
NCT04130529,F39
NCT04130529,F99-F99.9
NCT04130529,G00-G99.9
NCT04130529,F31
NCT04950088,F99-F99.9
NCT04950088,F41.9
NCT04864574,E66
NCT05588687,F99-F99.9
NCT05588687,F41.9
NCT05049954,E70-E90.9
NCT05049954,E66
NCT02699983,C00-D48.9
NCT02699983,N60-N64.9
NCT02699983,D09.9
NCT02699983,D05
NCT03453931,I51.9
NCT03453931,I51.6
NCT03453931,I49.9
NCT02369445,F99-F99.9
NCT02369445,N39.9
NCT02369445,N00-N99.9
NCT02369445,F84.0
NCT00381069,E66
NCT06243419,R52.9
NCT06243419,R52.0
NCT03295110,F03
NCT03295110,G93.9
NCT03295110,G96.9
NCT03295110,G00-G99.9
NCT03295110,G31.9
NCT03295110,F99-F99.9
NCT03295110,G30
NCT05435781,I51.6
NCT05435781,G00-G99.9
NCT05435781,I67.9
NCT05435781,G93.9
NCT05435781,G96.9
NCT05435781,M60-M63.9
NCT05435781,M79.0
NCT05435781,E27.9
NCT05435781,E34.9
NCT05435781,M35.3
NCT05435781,I77.6
NCT03248258,C00-D48.9
NCT03248258,N60-N64.9
NCT05290831,J44.9
NCT04725344,R52.9
NCT04725344,M54
NCT04725344,M54.5
NCT03660579,Z72.1
NCT05159089,E70-E90.9
NCT05159089,E34.9
NCT05159089,E10-E14.9
NCT05159089,E11
NCT02710279,F39
NCT02710279,F99-F99.9
NCT03909984,G93.9
NCT03909984,G96.9
NCT03909984,G00-G99.9
NCT03909984,G40
NCT06579729,K00-K93.9
NCT06579729,E66
NCT06579729,K70-K77.9
NCT05730348,F99-F99.9
NCT05167331,F99-F99.9
NCT05167331,F41.9
NCT05543850,E10-E14.9
NCT05543850,E70-E90.9
NCT05543850,E34.9
NCT05543850,E10
NCT03044964,I20-I25.9
NCT03044964,I51.9
NCT03044964,I51.6
NCT03044964,R07.4
NCT03044964,R52.9
NCT03044964,I20
NCT06054659,I51.6
NCT06054659,E14.8
NCT06054659,E10-E14.9
NCT06054659,E34.9
NCT06054659,E70-E90.9
NCT06054659,E11
NCT01722942,I51.9
NCT01722942,I51.6
NCT01722942,I49.9
NCT01722942,I45.9
NCT01722942,B57
NCT01722942,B50-B64.9
NCT01722942,I42
NCT01722942,R00.0
NCT01722942,I47.2
NCT02911493,I51.9
NCT02911493,I51.6
NCT02911493,I50
NCT04967235,I51.6
NCT03714425,M60-M63.9
NCT03714425,M79.0
NCT03714425,G70.9
NCT03714425,G00-G99.9
NCT05802368,M00-M25.9
NCT02432989,G93.9
NCT02432989,G96.9
NCT02432989,G00-G99.9
NCT02432989,S00-S09.9
NCT02432989,S06.0
NCT06489873,H35.9
NCT06489873,H44
NCT04569630,E70-E90.9
NCT04569630,E34.9
NCT04569630,E10-E14.9
NCT04569630,E16.2
NCT04569630,E10
NCT04489043,E70-E90.9
NCT04489043,E34.9
NCT04489043,R73.9
NCT04489043,E10-E14.9
NCT04843930,J12.9
NCT04843930,J18.9
NCT04843930,B34.9
NCT04843930,B34.2
NCT04843930,F99-F99.9
NCT06249373,N39.9
NCT06249373,N00-N99.9
NCT04326127,J00-J99.9
NCT04326127,G00-G99.9
NCT04326127,G47.3
NCT04821518,I67.9
NCT04821518,G93.9
NCT04821518,G96.9
NCT04821518,G00-G99.9
NCT04821518,I51.6
NCT04821518,C00-D48.9
NCT04821518,I64
NCT04643860,J12.9
NCT04643860,J18.9
NCT04643860,B34.9
NCT04643860,B34.2
NCT05098626,R52.9
NCT05098626,M54
NCT05098626,M54.5
NCT05098626,M54.2
NCT04058600,C00-D48.9
NCT04058600,K00-K93.9
NCT04058600,K63.9
NCT01450254,M13.9
NCT01450254,M00-M25.9
NCT01450254,M79.0
NCT01450254,M16
NCT02265757,G93.9
NCT02265757,G96.9
NCT02265757,G00-G99.9
NCT02265757,F99-F99.9
NCT02265757,G31.9
NCT02265757,F03
NCT02265757,G30
NCT06001489,I51.9
NCT06001489,I51.6
NCT06001489,I35.9
NCT04105309,E66
NCT03933020,G00-G99.9
NCT03933020,G35
NCT01959022,F99-F99.9
NCT01959022,F43.1
NCT02919904,C00-D48.9
NCT02919904,N50.9
NCT02919904,N00-N99.9
NCT02919904,N42.9
NCT06305377,E70-E90.9
NCT06305377,E34.9
NCT06305377,E10-E14.9
NCT06305377,E10
NCT05755724,R52.9
NCT05755724,R52.0
NCT04432818,C00-D48.9
NCT04432818,I51.6
NCT04432818,D75.9
NCT04432818,D69.9
NCT04432818,C90.0
NCT03446716,F99-F99.9
NCT03446716,F90
NCT06035939,D58.9
NCT06035939,D55-D59.9
NCT06035939,D64.9
NCT06035939,D75.9
NCT06035939,D57
NCT06215313,F99-F99.9
NCT06215313,F43.1
NCT04466956,N00-N99.9
NCT04466956,O03
NCT05066347,G00-G99.9
NCT05066347,R55
NCT04222556,F99-F99.9
NCT06493071,F39
NCT06493071,F99-F99.9
NCT06493071,G95.9
NCT06493071,G96.9
NCT06493071,G00-G99.9
NCT06493071,T09.3
NCT06188793,K00-K93.9
NCT06188793,K63.9
NCT04811911,L40-L45.9
NCT04811911,L40
NCT04554927,C00-D48.9
NCT04554927,N60-N64.9
NCT06138756,G93.9
NCT06138756,G96.9
NCT06138756,G00-G99.9
NCT06138756,G43
NCT03993548,M00-M25.9
NCT03993548,M79.0
NCT03993548,R52.9
NCT03993548,M13.9
NCT03993548,M06.9
NCT06562530,I67.9
NCT06562530,G93.9
NCT06562530,G96.9
NCT06562530,G00-G99.9
NCT06562530,I51.6
NCT06562530,I64
NCT02386722,T78.4
NCT02386722,J45
NCT03456973,C00-D48.9
NCT03456973,N60-N64.9
NCT05174559,G93.9
NCT05174559,G96.9
NCT05174559,G00-G99.9
NCT05174559,E72.9
NCT05174559,E70-E90.9
NCT02498834,T78.4
NCT02498834,J45
NCT02989610,G93.9
NCT02989610,G96.9
NCT02989610,G00-G99.9
NCT02989610,G31.9
NCT02989610,G20
NCT06815211,J33
NCT06814470,R52.9
NCT06814470,M54
NCT06814470,M54.5
NCT06814028,N00-N99.9
NCT00430638,I51.6
NCT00430638,I10-I15.9
NCT06682949,F99-F99.9
NCT06682949,F90
NCT05475067,J12.9
NCT05475067,J18.9
NCT05475067,B34.9
NCT05475067,B34.2
NCT05763563,C00-D48.9
NCT05763563,D75.9
NCT03954184,F99-F99.9
NCT04949984,G93.9
NCT04949984,G96.9
NCT04949984,G00-G99.9
NCT04949984,F99-F99.9
NCT04949984,F03
NCT05409508,G31.9
NCT05409508,G00-G99.9
NCT05409508,G70.9
NCT05409508,G95.9
NCT05409508,G96.9
NCT05409508,E70-E90.9
NCT05409508,G12.2
NCT04986566,C00-D48.9
NCT04986566,K00-K93.9
NCT05827588,N39.9
NCT05827588,N00-N99.9
NCT02632383,E70-E90.9
NCT02632383,E34.9
NCT02632383,E10-E14.9
NCT02632383,E10
NCT00999245,D58.9
NCT00999245,D55-D59.9
NCT00999245,D64.9
NCT00999245,D75.9
NCT00999245,D57
NCT06757283,A02.9
NCT06757283,A49.9
NCT06757283,A01.0
NCT03807401,G93.9
NCT03807401,G96.9
NCT03807401,G00-G99.9
NCT03807401,S00-S09.9
NCT06239779,M60-M63.9
NCT06239779,M79.0
NCT06239779,G70.9
NCT06239779,G00-G99.9
NCT04154514,I67.9
NCT04154514,G93.9
NCT04154514,G96.9
NCT04154514,G00-G99.9
NCT04154514,I51.6
NCT04154514,I64
NCT01839305,M60-M63.9
NCT01839305,M79.0
NCT01839305,G70.9
NCT01839305,G00-G99.9
NCT03759145,I67.9
NCT03759145,G93.9
NCT03759145,G96.9
NCT03759145,G00-G99.9
NCT03759145,I51.6
NCT03759145,I64
NCT04371211,G93.9
NCT04371211,G96.9
NCT04371211,G00-G99.9
NCT04371211,S00-S09.9
NCT01156051,G00-G99.9
NCT01156051,F99-F99.9
NCT01156051,G47.0
NCT01156051,F90
NCT03672396,C00-D48.9
NCT03672396,N50.9
NCT03672396,N00-N99.9
NCT03672396,N42.9
NCT06346171,F99-F99.9
NCT06346171,R52.9
NCT06346171,F41.9
NCT05391919,I67.9
NCT05391919,G93.9
NCT05391919,G96.9
NCT05391919,G00-G99.9
NCT05391919,I51.6
NCT05391919,F99-F99.9
NCT05391919,I64
NCT01745419,J44.9
NCT05638516,E66
NCT05638516,F99-F99.9
NCT05666479,E10-E14.9
NCT05666479,E70-E90.9
NCT05666479,E34.9
NCT05666479,E11
NCT05268965,F99-F99.9
NCT05268965,F43.1
NCT02105597,E70-E90.9
NCT02105597,E34.9
NCT02105597,E10-E14.9
NCT02105597,E11
NCT03076528,N39.9
NCT03076528,N00-N99.9
NCT03076528,N18
NCT06398561,F39
NCT06398561,F99-F99.9
NCT05396872,C00-D48.9
NCT05396872,N50.9
NCT05396872,N00-N99.9
NCT05396872,N42.9
NCT03846102,S72
NCT03811184,F03
NCT03811184,G93.9
NCT03811184,G96.9
NCT03811184,G00-G99.9
NCT03811184,G31.9
NCT03811184,F99-F99.9
NCT03811184,G30
NCT02706600,J44.9
NCT00303433,G00-G99.9
NCT00303433,F99-F99.9
NCT00303433,F05.9
NCT05297110,I51.6
NCT05297110,E10-E14.9
NCT05297110,E70-E90.9
NCT05297110,E34.9
NCT05297110,I10-I15.9
NCT05297110,E11
NCT04462224,T78.4
NCT04462224,J45
NCT02821117,E70-E90.9
NCT02821117,E34.9
NCT02821117,E10-E14.9
NCT02926417,G00-G99.9
NCT02926417,F99-F99.9
NCT02926417,F05.9
NCT00464555,E70-E90.9
NCT00464555,E34.9
NCT00464555,E10-E14.9
NCT00464555,E10
NCT01913561,I51.9
NCT01913561,I51.6
NCT01913561,I49.9
NCT05799781,E10-E14.9
NCT05799781,E70-E90.9
NCT05799781,E34.9
NCT05799781,E10
NCT05986214,J44.9
NCT03817229,G93.9
NCT03817229,G96.9
NCT03817229,G00-G99.9
NCT03817229,G40
NCT04871178,I51.9
NCT04871178,I51.6
NCT04871178,I50
NCT05899153,G00-G99.9
NCT05899153,G93.9
NCT05899153,G96.9
NCT05438927,C00-D48.9
NCT05438927,K00-K93.9
NCT05438927,K86.9
NCT05438927,E34.9
NCT05303480,C85.9
NCT05303480,C00-D48.9
NCT05303480,B35-B49.9
NCT05303480,C84.0
NCT06778811,G00-G99.9
NCT06778811,F99-F99.9
NCT06376643,I51.9
NCT06376643,I51.6
NCT06376643,I46
NCT05790538,C00-D48.9
NCT05480904,G00-G99.9
NCT05480904,C00-D48.9
NCT05482906,G00-G99.9
NCT05482906,G35
NCT00956488,G31.9
NCT00956488,G00-G99.9
NCT00956488,G70.9
NCT00956488,G95.9
