_name,_idx,DHT_searched_text
no matches,0,heart rate setting
no matches,0,"Weight Gain Prevention Program;
 Questionnaire"
no matches,0,"etoposide;
 cyclophosphamide;
 carmustine;
 melphalan;
 busulfan;
 carboplatin;
 thiotepa;
 total-body irradiation;
 autologous hematopoietic stem cell transplantation;
 autologous-autologous tandem hematopoietic stem cell transplantation"
no matches,0,"1/10 NA/EE;
 Placebo"
['philips'],1,"sonic toothbrush (Philips Sonicare® FlexCare, Typ HX6942/04);
 manual toothbrush / interdental toothbrush (elmex® Inter X medium toothbrush / interdental brush Curaprox®);
 manual toothbrush (elmex® Inter X medium toothbrush)"
no matches,0,Alpha lipoic acid at 3 doses compared to placebo
no matches,0,Blood draw
no matches,0,"Prolonged-release melatonin;
 Temazepam;
 Zolpidem;
 Placebo to match melatonin, zolpidem and temazepam"
no matches,0,"APOS SYSTEM;
 APOS SYSTEM without biomechanics units."
['triggerfish'],1,"Sensimed Triggerfish Sensor;
 Goldmann Applanation Tonometry, Perkins Tonometry"
no matches,0,"SPI-1005 Low dose;
 SPI-1005 Middle dose;
 SPI-1005 High dose;
 Placebo"
no matches,0,"Tracking eye movement;
 Tracking eye movement under deep brain stimulation"
no matches,0,"Stress Resilience Training System (SRTS);
 Progressive Muscle Relaxation (PMR)"
no matches,0,altitude
['wrist blood pressure monitor'],1,"Blood pressure Transtek Wrist Blood Pressure Monitor, TMB-1117;
 Blood pressure Reference Device: Yuyue Medical Blood Pressure Meter, YYBP-2"
no matches,0,"[18F]-CP18;
 PET/ CT"
no matches,0,"Thomale-Guide;
 Free-hand"
['mobile app'],1,"Low-Carbohydrate Diet;
 Low-Fat Diet;
 Mobile App"
no matches,0,"Placebo;
 RM-493"
no matches,0,"A decision support software;
 Insulin Pump;
 Continuous glucose monitoring"
no matches,0,"Telecare;
 Conventional therapy"
no matches,0,"Desflurane;
 Remifentanil;
 Ultrasonographic measurement of ONSD;
 Mechanical ventilation;
 Trendelenburg position - 30 degree;
 Reverse Trendelenburg position - 30 degree"
no matches,0,"Fish Meals;
 Placebo"
no matches,0,Motivational Lifestyle Counselling
['omnipod'],1,"Gonadorelin acetate subcutaneous (SC) 10 μg/pulse as a fixed dose, administered via. OmniPod pump;
 Gonadorelin acetate SC 15 μg/pulse as a fixed dose, administered via. OmniPod pump;
 Gonadorelin acetate SC 20 μg/pulse as a fixed dose, administered via. OmniPod pump;
 Placebo (SC 10, 15, or 20 μg/pulse as a fixed dose, administered via. OmniPod pump)"
['philips'],1,"dynamic contrast-enhanced ultrasound imaging;
 shear wave elastography;
 Definity, (Lipid Microspheres) Intravenous Suspension;
 Philips Shear Wave Elastography"
no matches,0,"Macular hole surgery using a 25 G pars plana vitrectomy, ILM peeling, fluid-air exchange followed by air-gas exchange with SF6 or C3F8."
['dexcom'],1,Continuous glucose monitoring with DexCom G4 platina
['smartphone'],1,Safe Delivery smartphone application
no matches,0,Circadian Light luminaries
no matches,0,"Feedback;
 Education"
no matches,0,"Slackline;
 Wobbling Board;
 Pre-training;
 Fix visual anchor;
 Moving visual anchor;
 Post-training;
 Slackline vs. standing-on-1-leg vs. control"
no matches,0,Strengthening Community-Based Stroke Care: A Pilot Study of a Community Navigation and Rehabilitation Intervention that Includes a Mobile Health Solution
no matches,0,"Ritalin;
 Placebo"
no matches,0,"Standing Desk;
 Traditional Desk"
no matches,0,"Mohs Surgery;
 Internet-Based Intervention;
 Telephone-Based Intervention;
 Educational Intervention;
 Exercise Intervention;
 Petrolatum-Mineral Oil-Lanolin-Ceresin Ointment;
 Questionnaire Administration;
 Survey Administration"
no matches,0,"tDCS active;
 tDCS Sham"
no matches,0,"Exercise;
 ProLab 200mg caffeine capsule;
 Ethanol ingestion;
 Glucose Tolerance Drink"
no matches,0,"Aerobic exercise;
 Video Gaming;
 Aerobic exercise and Video Gaming;
 Control"
no matches,0,"Telemedicine Weight Management plus Wi-Fi Scale (Arm A);
 Text for Diet (Text4Diet) Group (Arm B);
 Enhanced Usual Care Group (Arm C)"
no matches,0,"Clinician's Guide;
 Enhanced Motivational Interviewing;
 Enhanced Clinician's Guide"
['iphone'],1,"Modified Allen Test;
 Iphone artery assessment"
no matches,0,"GroupCoreSIT;
 Standard care"
no matches,0,"Formal Perimetry (Goldman or Octopus visual Field);
 Albert's visual inattention test;
 Star cancellation visual inattention test;
 Visual field assessment to confrontation;
 Visual inattention assessment to bilateral stimuli;
 Digital tumbling E visual accuity assessment;
 Digital visual field assessment;
 Digital line crossing assessment;
 Digital shape cancellation assessment"
no matches,0,"smartcare;
 financial incentives"
no matches,0,"tDCS;
 rTMS;
 pp-TMS assessment"
no matches,0,"Directly Observed Therapy;
 Wirelessly Observed Therapy"
no matches,0,"Ticagrelor;
 Prasugrel;
 Clopidogrel"
no matches,0,"Feedback against tailored target;
 No feedback"
no matches,0,"AMS Monitor App;
 Lake Louise Score;
 Balance Error Scoring System;
 Heart Rate & Pulse Oxygen Saturation"
['resperate'],1,"Resperate®-InterCure Ltda;
 Music group (GC)"
no matches,0,"anodal tsDCS;
 cathodal tsDCS;
 sham tsDCS;
 Gait training;
 High frequency rTMS;
 Low frequency rTMS;
 sham rTMS"
no matches,0,"Canagliflozin;
 Repaglinide;
 Pioglitazone;
 Gliclazide;
 Glimepiride"
['kinect'],1,Exergames- Laptop and MIcrosoft Kinect
['tracker'],1,"Exercise Group;
 Control Group;
 wristband activity tracker"
['fitbit charge'],1,"Placebo;
 Morphine Sulfate;
 Plus laxative (Docusate with senna);
 Plus placebo laxative;
 FitBit charge HR (Accelerometer)"
no matches,0,"Virtual reality;
 Standard treatment"
"['xbox', 'kinect']",1,"Cardiovascular rehabilitation program using Kinect of Xbox;
 Cardiovascular rehabilitation program using paper manual;
 Educational component"
no matches,0,"Nutrition-specific Behaviour change communication (BCC);
 Nutrient supplement to pregnant women (PNS);
 Nutrienr supplement to children 6m to 2 years"
"['dexcom', 'g4 platinum']",1,"Patient's insulin pump;
 Insulin;
 Dexcom G4 Platinum glucose sensor;
 Single-hormone closed-loop"
no matches,0,"SCC;
 Nurse Practitioner;
 DSS;
 AT;
 Symptom Severity"
no matches,0,Physical activity intervention
no matches,0,"Belly breathing with biofeedback app;
 Belly breathing without biofeedback app;
 Belly breathing + visual distraction"
['fitbit'],1,"Blinded Fitbit;
 Unblinded Fitbit"
['kinect'],1,"Conventional bilateral arm training;
 Kinect-based bilateral arm training"
no matches,0,Mitral valve surgery
no matches,0,"15-week intervention with sensor-augmented pump;
 15-week intervention with single-hormone closed-loop;
 15-week intervention with dual-hormone closed-loop;
 Insulin pump;
 Continuous glucose monitoring system;
 Insulin;
 Glucagon"
no matches,0,Pistachio added 20% of kcals to diet
no matches,0,"STEMO;
 Regular care"
['smartphone'],1,Step Goal Delivery by Smartphone
['activpal'],1,"ActivPAL inclinometer;
 Phone counseling call: Breaking up sitting time;
 In-person counseling: Breaking up sitting time;
 Phone counseling call: Healthy living;
 Tools to prompt standing;
 In-person counseling: Healthy living"
no matches,0,"Scar-Based Radio-frequency Ablation;
 Rotor Anchors Radio-frequency Ablation;
 Conventional PVI by Radio-frequency Ablation"
no matches,0,"Own Adherence Group;
 Fixed Adherence Group;
 Control Group"
['wearable'],1,"Wearable technology;
 Diabetes Prevention Programme educational material;
 Motivational messaging"
no matches,0,"Rehab with computer feedback;
 Treatment as usual"
no matches,0,Respiratory muscle training
['smartphone'],1,"App/Training;
 Smartphone"
no matches,0,"Text Messaging (TM);
 Health Coaching (HC);
 Enhanced Usual Care (EC)"
no matches,0,Digital Health Physical Activity Intervention Group
"['fitbit charge', 'fitbit']",1,"Fitbit Zip;
 HOPE App;
 Standard of Care;
 Fitbit Charge 2;
 SMART Study Intervention"
['sensewear'],1,SenseWear activity monitor
no matches,0,"Physical activity (PA);
 cognitive treatment (CT)"
no matches,0,Lantern
no matches,0,"Ergoferon;
 Placebo"
no matches,0,"Supervised Exercise;
 Acceptance and Commitment Therapy"
['smartphone'],1,"Self-help materials;
 nicotine patch;
 Smartphone-delivered automated treatment;
 Counseling"
"['fitbit', 'tracker']",1,"Peer-Facilitated Counseling;
 Fitbit activity tracker"
no matches,0,"VillageWhere App;
 Attention-Control Placebo App"
no matches,0,"Enhanced Usual Care (EUC);
 Intervention"
no matches,0,"Interval Training (IT);
 Inspiratory Muscle Training (IMT)"
no matches,0,"Core;
 Support Calls;
 App+;
 Online gym;
 App notifications;
 Buddy"
no matches,0,Intervention
no matches,0,"cardiac MRI;
 echocardiography with strain;
 Laboratory tests;
 Body composition monitoring;
 lung ultrasound"
no matches,0,"Share ultrasound measurement of IVC collapsibility to Nephrology Attending;
 Do not share ultrasound measurement of IVC collapsibility to Nephrology Attending"
no matches,0,"Social, Local and Mobile"
no matches,0,Homemonitoring diagnostic system
no matches,0,"Multimedia Information;
 Printed Handout"
no matches,0,Home Blood Pressure Monitoring (HBPM)
no matches,0,"Dried blood spot test;
 Urine test;
 Artery ultrasound;
 Ankle-brachial index;
 Spirometry;
 Determination of advanced glycation-end products;
 Atrial fibrillation screening;
 Biological sample collection;
 Result and recommendation report;
 Pulse wave velocity"
no matches,0,"Atezolizumab (MPDL3280A), an engineered anti-programmed death-ligand 1 (PD-L1) antibody;
 Bevacizumab;
 Entinostat;
 Exemestane;
 Fulvestrant;
 Ipatasertib;
 Tamoxifen;
 Abemaciclib"
no matches,0,"5-Fluorouracil (5-FU);
 Leucovorin;
 Oxaliplatin;
 Atezolizumab;
 Cobimetinib;
 Ramucirumab;
 Paclitaxel;
 PEGylated recombinant human hyaluronidase (PEGPH20);
 BL-8040;
 Linagliptin;
 Cisplatin;
 Tiragolumab"
no matches,0,"study group;
 control group"
